NUM_ORIGIN,NUM_SUB,AREA_ORIGIN,AREA_SUB,AREA_SUB_ORIGINAL,COMPRIMENTO_ORIGIN,COMPRIMENTO_SUB,LARGURA_ORIGIN,LARGURA_SUB,ALTURA_ORIGIN,ALTURA_SUB,CIRCULARIDADE_SUB,REGIAO_P,MEDIA_REGIAO_P,REGIAO_N,MEDIA_REGIAO_N,REGIAO_S,MEDIA_REGIAO_S,REGIAO_L,MEDIA_REGIAO_L,REGIAO_O,MEDIA_REGIAO_O,REGIAO_NO,MEDIA_REGIAO_NO,REGIAO_NL,MEDIA_REGIAO_NL,REGIAO_SO,MEDIA_REGIAO_SO,REGIAO_SL,MEDIA_REGIAO_SL,QTD_REGIOES
10,30,131072,187,99.85733032226562,1024,17,512,17,256,11,0.7493339620169532,Cinza,0.7593582887700535,Cinza,0.6941176470588235,Cinza,0.6470588235294118,Cinza,0.7727272727272727,Cinza,0.7840909090909091,Cinza,0.675,Cinza,0.95,Cinza,0.7,Claro,0.6,8
10,31,131072,16,99.98779296875,1024,4,512,4,256,4,0.5890486675369074,Claro,1.0,Claro,1.0,Claro,0.875,Claro,1.0,Claro,1.0,Claro,1.0,Claro,1.0,Cinza,0.75,Claro,1.0,8
10,32,131072,608,99.5361328125,1024,32,512,32,256,19,0.6804668087743514,Claro,0.6990131578947368,Claro,0.6944444444444444,Claro,0.8854166666666666,Claro,0.7730263157894737,Claro,0.6118421052631579,Claro,0.6111111111111112,Claro,0.8402777777777778,Claro,0.9444444444444444,Claro,0.5763888888888888,9
10,33,131072,280,99.786376953125,1024,20,512,20,256,14,0.7609393970632716,Cinza,0.7892857142857143,Cinza,0.95,Cinza,0.7714285714285715,Cinza,0.8928571428571429,Cinza,0.6785714285714286,Cinza,0.9857142857142858,Cinza,0.9714285714285714,Cinza,0.6571428571428571,Cinza,0.8571428571428571,9
10,34,131072,176,99.86572265625,1024,16,512,16,256,11,0.758464070002474,Cinza,0.7897727272727273,Cinza,0.675,Cinza,0.6875,Cinza,0.75,Cinza,0.75,Cinza,0.875,Cinza,0.7,Cinza,0.675,Cinza,0.9,9
10,35,131072,275,99.79019165039062,1024,25,512,25,256,11,0.666618811525612,Cinza,0.7272727272727273,Cinza,0.96,Cinza,0.68,Cinza,0.7045454545454546,Cinza,0.803030303030303,Cinza,0.8333333333333334,Cinza,0.9166666666666666,Cinza,0.7,Cinza,0.6666666666666666,9
10,36,131072,480,99.6337890625,1024,30,512,30,256,16,0.6810419843631554,Cinza,0.93125,Cinza,0.9416666666666667,Cinza,0.8875,Cinza,0.9625,Cinza,0.8958333333333334,Cinza,0.8666666666666667,Cinza,0.975,Cinza,0.9083333333333333,Cinza,0.9833333333333333,9
10,37,131072,21,99.98397827148438,1024,21,512,21,256,1,0.13630877215988774,Cinza,0.8571428571428571,Iguais,0,Iguais,0,Cinza,1.0,Cinza,0.7,Iguais,0,Iguais,0,Iguais,0,Iguais,0,3
10,38,131072,416,99.6826171875,1024,52,512,52,256,8,0.3334008091468826,Claro,0.8846153846153846,Claro,0.9182692307692307,Cinza,0.7019230769230769,Cinza,0.5625,Claro,0.9038461538461539,Claro,0.8365384615384616,Claro,0.8173076923076923,Claro,0.8173076923076923,Cinza,0.7307692307692307,6
10,39,131072,494,99.62310791015625,1024,26,512,26,256,19,0.6416976245792665,Claro,0.6437246963562753,Claro,1.0,Cinza,0.5854700854700855,Claro,0.8178137651821862,Claro,0.7206477732793523,Claro,0.8888888888888888,Claro,1.0,Claro,0.5726495726495726,Claro,0.8461538461538461,8
