NUM_ORIGIN,NUM_SUB,NUM_SUB_SUB,AREA_ORIGIN,AREA_SUB,AREA_SUB_SUB,COMPRIMENTO_ORIGIN,COMPRIMENTO_SUB,COMPRIMENTO_SUB_SUB,LARGURA_ORIGIN,LARGURA_SUB,LARGURA_SUB_SUB,ALTURA_ORIGIN,ALTURA_SUB,ALTURA_SUB_SUB,CIRCULARIDADE_SUB,CIRCULARIDADE_SUB_SUB,AREA_SUB_ORIGINAL,AREA_SUBSUB_ORIGINAL,AREA_SUBSUB_SUB_IMAGEM,REGIAO_P,REGIAO_N,REGIAO_S,REGIAO_L,REGIAO_O,REGIAO_NO,REGIAO_NL,REGIAO_SO,REGIAO_SL,MEDIA_REGIAO_P,MEDIA_REGIAO_N,MEDIA_REGIAO_S,MEDIA_REGIAO_L,MEDIA_REGIAO_O,MEDIA_REGIAO_NO,MEDIA_REGIAO_NL,MEDIA_REGIAO_SO,MEDIA_REGIAO_SL
11,31,0,131072,187,21,2048,17,16.242640614509583,512,17,7,256,11,3,0,0.02381587805799619,0.00142669677734375,0.00016021728515625,0.11229946524064172,Claro,Claro,Cinza,Claro,Cinza,Cinza,Claro,Cinza,Cinza,3.3333333333333335,1.3333333333333333,1.0,2.5,1.1428571428571428,0.5,0.5,1.0,0.5
11,33,0,131072,1240,11,2048,31,23.656854152679443,512,31,11,256,40,1,0,0.0,0.00946044921875,8.392333984375e-05,0.008870967741935484,Cinza,Indefinido,Indefinido,Cinza,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,1.6666666666666667,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,33,1,131072,1240,35,2048,31,18.242640614509583,512,31,5,256,40,7,0,0.01888010752707166,0.00946044921875,0.00026702880859375,0.028225806451612902,Cinza,Cinza,Cinza,Cinza,Cinza,Cinza,Cinza,Cinza,Cinza,3.7777777777777777,1.75,1.1666666666666667,6.5,2.6,1.0,1.25,1.0,0.8333333333333334
11,33,2,131072,1240,0,2048,31,2.0,512,31,0,256,40,1,0,0.0,0.00946044921875,0.0,0.0,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,33,3,131072,1240,112,2048,31,44.97056245803833,512,31,14,256,40,8,0,0.006213742116647135,0.00946044921875,0.0008544921875,0.09032258064516129,Cinza,Cinza,Cinza,Cinza,Indefinido,Indefinido,Cinza,Indefinido,Cinza,4.826086956521739,9.166666666666666,5.5,3.6666666666666665,-1.0,-1.0,3.375,-1.0,9.0
11,37,0,131072,187,0,2048,17,6.0,512,17,0,256,11,3,0,0.0,0.00142669677734375,0.0,0.0,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,37,1,131072,187,0,2048,17,10.0,512,17,5,256,11,0,0,0.0,0.00142669677734375,0.0,0.0,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,38,0,131072,187,0,2048,17,6.0,512,17,0,256,11,3,0,0.0,0.00142669677734375,0.0,0.0,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,38,1,131072,187,0,2048,17,10.0,512,17,5,256,11,0,0,0.0,0.00142669677734375,0.0,0.0,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,40,0,131072,4223,21,2048,103,17.41421353816986,512,103,3,256,41,7,0,0.02071915966467054,0.03221893310546875,0.00016021728515625,0.0049727681742836845,Cinza,Cinza,Cinza,Cinza,Cinza,Cinza,Cinza,Cinza,Cinza,6.666666666666667,2.0,2.5,1.5,2.0,0.5,0.5,0.5,0.5
11,40,1,131072,4223,2958,2048,103,350.7523070573807,512,103,102,256,41,29,0,5.10715214386362e-05,0.03221893310546875,0.0225677490234375,0.7004499171205304,Claro,Claro,Cinza,Cinza,Indefinido,Indefinido,Claro,Indefinido,Cinza,72.66666666666667,26.22222222222222,43.583333333333336,1.7333333333333334,-1.0,-1.0,2.5,-1.0,1.6666666666666667
11,42,0,131072,192,0,2048,12,2.0,512,12,1,256,16,0,0,0.0,0.00146484375,0.0,0.0,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,43,0,131072,432,0,2048,36,8.0,512,36,4,256,12,0,0,0.0,0.0032958984375,0.0,0.0,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,46,0,131072,729,0,2048,27,2.0,512,27,1,256,27,0,0,0.0,0.00556182861328125,0.0,0.0,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,46,1,131072,729,182,2048,27,53.79898953437805,512,27,13,256,27,14,0,0.00868343629027468,0.00556182861328125,0.0013885498046875,0.2496570644718793,Claro,Claro,Cinza,Cinza,Claro,Claro,Cinza,Claro,Cinza,13.714285714285714,12.75,22.5,1.4444444444444444,11.428571428571429,2.8333333333333335,1.5,6.5,3.0
11,52,0,131072,88,8,2048,8,7.414213538169861,512,8,2,256,11,4,0,0.11430091005163992,0.00067138671875,6.103515625e-05,0.09090909090909091,Claro,Claro,Claro,Claro,Claro,Claro,Claro,Claro,Claro,2.3333333333333335,1.0,0.5,1.0,1.0,0.5,0.5,0.0,0.0
11,54,0,131072,1610,36,2048,35,30.14213538169861,512,35,12,256,46,3,0,0.0,0.0122833251953125,0.000274658203125,0.02236024844720497,Claro,Claro,Cinza,Claro,Claro,Claro,Claro,Claro,Claro,3.6,1.8333333333333333,1.2222222222222223,5.666666666666667,8.5,1.6666666666666667,1.6666666666666667,2.5,1.0
11,54,1,131072,1610,128,2048,35,35.31370830535889,512,35,8,256,46,16,0,0.0,0.0122833251953125,0.0009765625,0.07950310559006211,Cinza,Claro,Cinza,Claro,Indefinido,Indefinido,Claro,Indefinido,Claro,5.571428571428571,21.0,1.1666666666666667,15.75,-1.0,-1.0,15.5,-1.0,1.5
11,55,0,131072,2613,0,2048,39,2.0,512,39,1,256,67,0,0,0.0,0.01993560791015625,0.0,0.0,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,55,1,131072,2613,0,2048,39,0.0,512,39,0,256,67,0,0,0,0.01993560791015625,0.0,0.0,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,55,2,131072,2613,81,2048,39,35.071067690849304,512,39,9,256,67,9,0,0.0051083646767967365,0.01993560791015625,0.00061798095703125,0.030998851894374284,Claro,Claro,Claro,Claro,Indefinido,Indefinido,Claro,Indefinido,Claro,5.0,4.125,4.166666666666667,8.75,-1.0,-1.0,3.0,-1.0,7.5
11,56,0,131072,8148,0,2048,84,4.0,512,84,2,256,97,0,0,0.0,0.062164306640625,0.0,0.0,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,56,1,131072,8148,72,2048,84,44.14213538169861,512,84,12,256,97,6,0,0.006449160528303446,0.062164306640625,0.00054931640625,0.008836524300441826,Claro,Claro,Claro,Cinza,Indefinido,Indefinido,Claro,Indefinido,Cinza,4.625,8.75,4.333333333333333,2.6,-1.0,-1.0,2.2,-1.0,5.333333333333333
11,56,2,131072,8148,0,2048,84,2.0,512,84,0,256,97,1,0,0.0,0.062164306640625,0.0,0.0,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
